日期,时间,纬度方向,纬度,经度方向,经度,海拔,地面速率
2017年05月10日,9:32:38,N,4047.533,E,11141.856,1108千米,12.2
2017年05月10日,9:32:39,N,4047.532,E,11141.852,1106千米,11.3
2017年05月10日,9:32:39,N,4047.532,E,11141.852,1106千米,11.3
2017年05月10日,9:32:41,N,4047.557,E,11141.837,1181千米,12.3
2017年05月10日,9:32:42,N,4047.563,E,11141.830,1199千米,12.2
2017年05月10日,9:32:43,N,4047.561,E,11141.826,1195千米,14.2
2017年05月10日,9:32:44,N,4047.560,E,11141.821,1194千米,14.5
2017年05月10日,9:32:45,N,4047.559,E,11141.815,1192千米,14.7
2017年05月10日,9:32:46,N,4047.560,E,11141.810,1194千米,14.6
2017年05月10日,9:32:47,N,4047.558,E,11141.806,1195千米,13.9
2017年05月10日,9:32:48,N,4047.558,E,11141.800,1196千米,14.7
2017年05月10日,9:32:49,N,4047.555,E,11141.796,1184千米,14.9
2017年05月10日,9:32:50,N,4047.551,E,11141.791,1174千米,14.5
2017年05月10日,9:32:51,N,4047.549,E,11141.787,1167千米,12.9
2017年05月10日,9:32:52,N,4047.547,E,11141.783,1162千米,11.1
2017年05月10日,9:32:53,N,4047.548,E,11141.779,1159千米,10.7
2017年05月10日,9:32:54,N,4047.547,E,11141.776,1151千米,9.6
2017年05月10日,9:32:55,N,4047.547,E,11141.771,1147千米,9.3
2017年05月10日,9:32:56,N,4047.549,E,11141.769,1147千米,11.0
2017年05月10日,9:32:57,N,4047.552,E,11141.767,1147千米,13.1
2017年05月10日,9:32:58,N,4047.556,E,11141.766,1146千米,16.3
2017年05月10日,9:32:59,N,4047.560,E,11141.764,1145千米,18.5
2017年05月10日,9:33:0,N,4047.565,E,11141.762,1144千米,20.1
2017年05月10日,9:33:1,N,4047.571,E,11141.759,1144千米,22.2
2017年05月10日,9:33:2,N,4047.577,E,11141.757,1143千米,22.7
2017年05月10日,9:33:3,N,4047.583,E,11141.754,1142千米,23.3
2017年05月10日,9:33:4,N,4047.589,E,11141.751,1142千米,22.5
2017年05月10日,9:33:5,N,4047.595,E,11141.748,1142千米,22.2
2017年05月10日,9:33:6,N,4047.601,E,11141.746,1142千米,21.9
2017年05月10日,9:33:7,N,4047.607,E,11141.743,1142千米,21.4
2017年05月10日,9:33:8,N,4047.613,E,11141.741,1141千米,20.6
2017年05月10日,9:33:9,N,4047.618,E,11141.738,1142千米,18.8
2017年05月10日,9:33:10,N,4047.623,E,11141.737,1141千米,16.5
2017年05月10日,9:33:11,N,4047.627,E,11141.735,1140千米,14.8
2017年05月10日,9:33:12,N,4047.631,E,11141.734,1140千米,13.2
2017年05月10日,9:33:13,N,4047.634,E,11141.733,1139千米,11.6
2017年05月10日,9:33:14,N,4047.637,E,11141.732,1139千米,9.7
2017年05月10日,9:33:15,N,4047.639,E,11141.731,1139千米,8.0
2017年05月10日,9:33:16,N,4047.641,E,11141.730,1140千米,7.1
2017年05月10日,9:33:17,N,4047.643,E,11141.730,1139千米,7.0
2017年05月10日,9:33:18,N,4047.645,E,11141.729,1139千米,6.7
2017年05月10日,9:33:19,N,4047.646,E,11141.728,1138千米,5.6
2017年05月10日,9:33:20,N,4047.647,E,11141.728,1137千米,3.9
2017年05月10日,9:33:21,N,4047.648,E,11141.727,1137千米,2.4
2017年05月10日,9:33:22,N,4047.648,E,11141.727,1136千米,1.4
2017年05月10日,9:33:23,N,4047.648,E,11141.727,1135千米,0.9
2017年05月10日,9:33:24,N,4047.648,E,11141.727,1135千米,0.9
2017年05月10日,9:33:25,N,4047.617,E,11141.721,1132千米,1.1
2017年05月10日,9:33:26,N,4047.617,E,11141.720,1128千米,1.1
